,price_open,date_open,type,date_close,price_close,stop_loss,comment,swap,total,diff
0,12739.2,2021-01-06 17:39:00,0,2021-01-06 21:27:00,12702.9,12702.9,Stop loss at 12702.9,0.0,-3.630000000000109,-3.630000000000109
1,12703.1,2021-01-06 21:28:00,1,2021-01-06 21:31:00,12732.4,12801.1,,0.0,-2.9299999999999273,-2.9299999999999273
2,12678.3,2021-01-06 21:38:00,1,2021-01-07 02:52:00,12702.4,12710.1,,0.013000000000000001,-2.3970000000000367,-2.4100000000000366
3,12705.3,2021-01-07 02:53:00,0,2021-01-07 10:07:00,12692.8,12668.0,,0.0,-1.25,-1.25
4,12688.0,2021-01-07 10:10:00,1,2021-01-07 11:05:00,12704.6,12773.9,,0.0,-1.6600000000000366,-1.6600000000000366
5,12712.5,2021-01-07 11:06:00,0,2021-01-07 11:40:00,12693.0,12624.6,,0.0,-1.9500000000000002,-1.9500000000000002
6,12690.2,2021-01-07 11:43:00,1,2021-01-07 12:13:00,12703.0,12785.5,,0.0,-1.2799999999999274,-1.2799999999999274
7,12712.4,2021-01-07 12:16:00,0,2021-01-07 12:52:00,12691.4,12619.2,,0.0,-2.1,-2.1
8,12691.6,2021-01-07 12:54:00,1,2021-01-07 13:21:00,12701.9,12778.9,,0.0,-1.0299999999999272,-1.0299999999999272
9,12705.5,2021-01-07 13:31:00,0,2021-01-07 13:43:00,12694.8,12606.3,,0.0,-1.070000000000073,-1.070000000000073
10,12691.4,2021-01-07 13:45:00,1,2021-01-07 13:50:00,12703.8,12791.4,,0.0,-1.2399999999999638,-1.2399999999999638
11,12705.199999999999,2021-01-07 13:52:00,0,2021-01-07 13:57:00,12692.9,12603.3,,0.0,-1.2299999999999274,-1.2299999999999274
12,12711.9,2021-01-07 14:01:00,0,2021-01-08 17:29:00,12963.1,12963.1,Stop loss at 12963.1,-0.063,25.057000000000077,25.120000000000076
13,12938.8,2021-01-11 16:35:00,1,2021-01-11 16:56:00,12967.0,13016.3,,0.0,-2.820000000000073,-2.820000000000073
14,12970.0,2021-01-11 16:59:00,0,2021-01-11 18:12:00,12950.2,12912.5,,0.0,-1.9799999999999274,-1.9799999999999274
15,12956.9,2021-01-11 18:13:00,1,2021-01-11 18:20:00,12973.3,13050.1,,0.0,-1.6399999999999637,-1.6399999999999637
16,12971.8,2021-01-11 18:21:00,0,2021-01-11 20:40:00,12971.4,12920.3,,0.0,-0.03999999999996362,-0.03999999999996362
17,12959.3,2021-01-11 20:46:00,1,2021-01-12 20:29:00,12881.3,12881.3,Stop loss at 12881.3,0.013000000000000001,7.813000000000001,7.800000000000001
18,12929.3,2021-01-13 16:58:00,1,2021-01-13 17:31:00,12946.2,12983.8,,0.0,-1.6900000000001456,-1.6900000000001456
19,12953.6,2021-01-13 17:33:00,0,2021-01-14 12:27:00,12931.5,12919.6,,-0.063,-2.2730000000000365,-2.2100000000000364
20,12931.0,2021-01-14 12:31:00,1,2021-01-14 12:33:00,12938.9,13031.0,,0.0,-0.7899999999999636,-0.7899999999999636
21,12942.699999999999,2021-01-14 12:34:00,0,2021-01-14 12:39:00,12932.8,12840.8,,0.0,-0.9899999999999637,-0.9899999999999637
22,12942.199999999999,2021-01-14 12:41:00,0,2021-01-14 13:28:00,12933.0,12854.9,,0.0,-0.9199999999998909,-0.9199999999998909
