<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.01.04	00:00:00	1.22391	1.22398	1.22275	1.22365	481	0	0
2021.01.04	00:30:00	1.22347	1.22400	1.22319	1.22330	360	0	0
2021.01.04	01:00:00	1.22330	1.22417	1.22304	1.22399	2813	0	0
2021.01.04	01:30:00	1.22398	1.22527	1.22394	1.22501	4246	0	0
2021.01.04	02:00:00	1.22499	1.22499	1.22406	1.22455	5459	0	0
2021.01.04	02:30:00	1.22454	1.22456	1.22386	1.22407	3178	0	0
2021.01.04	03:00:00	1.22408	1.22505	1.22399	1.22447	4750	0	0
2021.01.04	03:30:00	1.22448	1.22558	1.22415	1.22526	3440	0	0
2021.01.04	04:00:00	1.22526	1.22583	1.22510	1.22548	3473	0	0
2021.01.04	04:30:00	1.22548	1.22586	1.22496	1.22540	3647	0	0
2021.01.04	05:00:00	1.22541	1.22578	1.22500	1.22574	3850	0	0
2021.01.04	05:30:00	1.22574	1.22577	1.22486	1.22550	2812	0	0
2021.01.04	06:00:00	1.22550	1.22550	1.22480	1.22489	2684	0	0
2021.01.04	06:30:00	1.22490	1.22500	1.22437	1.22489	3387	0	0
2021.01.04	07:00:00	1.22490	1.22496	1.22415	1.22447	4829	0	0
2021.01.04	07:30:00	1.22447	1.22593	1.22445	1.22552	3351	0	0
2021.01.04	08:00:00	1.22552	1.22566	1.22422	1.22456	5658	0	0
2021.01.04	08:30:00	1.22456	1.22578	1.22456	1.22562	2243	0	0
2021.01.04	09:00:00	1.22562	1.22685	1.22540	1.22653	4952	0	0
2021.01.04	09:30:00	1.22653	1.22690	1.22567	1.22639	4127	0	0
2021.01.04	10:00:00	1.22639	1.22743	1.22620	1.22723	5613	0	0
2021.01.04	10:30:00	1.22723	1.22863	1.22713	1.22812	6208	0	0
2021.01.04	11:00:00	1.22812	1.22953	1.22790	1.22942	5247	0	0
2021.01.04	11:30:00	1.22943	1.23006	1.22894	1.22934	5194	0	0
2021.01.04	12:00:00	1.22935	1.23000	1.22898	1.22928	4073	0	0
